"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "SVG", "CSS", "Less", "Django HTML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\add_category.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\add_product.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 243, 3, 293
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\basic-tables.php", "PHP", 441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 442
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\branches.php", "PHP", 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 288
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\buttons.php", "PHP", 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 263
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\chartjs.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\customers.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 91
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\documentation.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\faqs.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\messaging.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\order_item.php", "PHP", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\orders.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\product-grid.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\products.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 61
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\profile.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\promotions.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\register.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 88
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\settings.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 678, 1, 718
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\staff.php", "PHP", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 137
"c:\xampp\htdocs\demae-sample\app\Views\admin\pages\typography.php", "PHP", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 138
"c:\xampp\htdocs\demae-sample\app\Views\admin\sidebar.php", "PHP", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 109
"c:\xampp\htdocs\demae-sample\app\Views\auth.php", "PHP", 164, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 189
"c:\xampp\htdocs\demae-sample\app\Views\confirm.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\xampp\htdocs\demae-sample\app\Views\footer.php", "PHP", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 126
"c:\xampp\htdocs\demae-sample\app\Views\header.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 130, 1, 141
"c:\xampp\htdocs\demae-sample\app\Views\home.php", "PHP", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 179
"c:\xampp\htdocs\demae-sample\app\Views\profile\card_item.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\demae-sample\app\Views\profile\favorite.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\xampp\htdocs\demae-sample\app\Views\profile\history.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\xampp\htdocs\demae-sample\app\Views\profile\history_item.php", "PHP", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 160
"c:\xampp\htdocs\demae-sample\app\Views\profile\info.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 89
"c:\xampp\htdocs\demae-sample\app\Views\profile\info_item.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
